Company,Role,Experience,Question,Difficulty,Topic
Atlassian,Software Engineer,Fresher,Explain REST principles and common HTTP methods.,Medium,APIs
Atlassian,Backend Engineer,Junior,What makes an API idempotent and why is it important?,Medium,APIs
Atlassian,Frontend Engineer,Mid-Level,Explain pagination and versioning strategies in APIs.,Medium,APIs
Atlassian,Data Engineer,Senior,Difference between REST and GraphQL.,Medium,APIs
Atlassian,Software Engineer,Staff,How do APIs handle authentication and authorization?,Medium,APIs
Atlassian,Backend Engineer,Fresher,Explain common API security vulnerabilities.,Medium,APIs
Atlassian,Frontend Engineer,Junior,Difference between SQL and NoSQL databases.,Medium,Databases
Atlassian,Data Engineer,Mid-Level,Explain database indexing and its impact on performance.,Medium,Databases
Atlassian,Software Engineer,Senior,What are ACID properties?,Medium,Databases
Atlassian,Backend Engineer,Staff,Explain normalization and denormalization.,Medium,Databases
Atlassian,Frontend Engineer,Fresher,What is database sharding?,Medium,Databases
Atlassian,Data Engineer,Junior,Explain replication and failover mechanisms.,Medium,Databases
Atlassian,Software Engineer,Mid-Level,Design a scalable URL shortening service.,Medium,System Design
Atlassian,Backend Engineer,Senior,Explain load balancing strategies.,Easy,System Design
Atlassian,Frontend Engineer,Staff,How would you design a notification system?,Medium,System Design
Atlassian,Data Engineer,Fresher,Explain horizontal vs vertical scaling.,Easy,System Design
Atlassian,Software Engineer,Junior,Design a basic caching strategy.,Medium,System Design
Atlassian,Backend Engineer,Mid-Level,Explain trade-offs in distributed system design.,Medium,System Design
Atlassian,Frontend Engineer,Senior,Explain process vs thread.,Easy,Operating Systems
Atlassian,Data Engineer,Staff,What is context switching?,Medium,Operating Systems
Atlassian,Software Engineer,Fresher,Explain virtual memory.,Easy,Operating Systems
Atlassian,Backend Engineer,Junior,What is a deadlock and how is it prevented?,Medium,Operating Systems
Atlassian,Frontend Engineer,Mid-Level,Explain scheduling algorithms.,Easy,Operating Systems
Atlassian,Data Engineer,Senior,Difference between user mode and kernel mode.,Medium,Operating Systems
Atlassian,Software Engineer,Staff,Explain how DNS works.,Easy,Networking
Atlassian,Backend Engineer,Fresher,Difference between TCP and UDP.,Medium,Networking
Atlassian,Frontend Engineer,Junior,What happens when you type a URL in a browser?,Medium,Networking
Atlassian,Data Engineer,Mid-Level,Explain HTTP vs HTTPS.,Easy,Networking
Atlassian,Software Engineer,Senior,What is a reverse proxy?,Medium,Networking
Atlassian,Backend Engineer,Staff,Explain latency vs bandwidth.,Easy,Networking
Atlassian,Frontend Engineer,Fresher,"Explain IaaS, PaaS, and SaaS.",Easy,Cloud Computing
Atlassian,Data Engineer,Junior,What is auto-scaling?,Medium,Cloud Computing
Atlassian,Software Engineer,Mid-Level,Explain cloud load balancing.,Easy,Cloud Computing
Atlassian,Backend Engineer,Senior,What is serverless computing?,Medium,Cloud Computing
Atlassian,Frontend Engineer,Staff,Explain multi-region deployment.,Easy,Cloud Computing
Atlassian,Data Engineer,Fresher,How does cloud monitoring work?,Medium,Cloud Computing
Atlassian,Software Engineer,Junior,Explain authentication vs authorization.,Medium,Security
Atlassian,Backend Engineer,Mid-Level,What is OAuth 2.0?,Medium,Security
Atlassian,Frontend Engineer,Senior,Explain common web security attacks.,Easy,Security
Atlassian,Data Engineer,Staff,What is encryption at rest and in transit?,Medium,Security
Atlassian,Software Engineer,Fresher,Explain role-based access control.,Easy,Security
Atlassian,Backend Engineer,Junior,What is zero-trust security?,Medium,Security
Atlassian,Frontend Engineer,Mid-Level,Explain CI/CD pipelines.,Easy,DevOps
Atlassian,Data Engineer,Senior,What is Docker used for?,Medium,DevOps
Atlassian,Software Engineer,Staff,Explain container orchestration.,Easy,DevOps
Atlassian,Backend Engineer,Fresher,Difference between blue-green and canary deployments.,Medium,DevOps
Atlassian,Frontend Engineer,Junior,What is infrastructure as code?,Medium,DevOps
Atlassian,Data Engineer,Mid-Level,Explain monitoring and logging.,Easy,DevOps
Atlassian,Software Engineer,Senior,Explain time and space complexity.,Easy,Data Structures & Algorithms
Atlassian,Backend Engineer,Staff,Difference between array and linked list.,Medium,Data Structures & Algorithms
Atlassian,Frontend Engineer,Fresher,Explain hashing and hash collisions.,Easy,Data Structures & Algorithms
Atlassian,Data Engineer,Junior,What is a balanced binary tree?,Medium,Data Structures & Algorithms
Atlassian,Software Engineer,Mid-Level,Explain BFS vs DFS.,Easy,Data Structures & Algorithms
Atlassian,Backend Engineer,Senior,What is dynamic programming?,Medium,Data Structures & Algorithms
Atlassian,Frontend Engineer,Staff,Explain object-oriented programming principles.,Medium,Behavioral / Fundamentals
Atlassian,Data Engineer,Fresher,What is SOLID design?,Medium,Behavioral / Fundamentals
Atlassian,Software Engineer,Junior,Explain MVC architecture.,Easy,Behavioral / Fundamentals
Atlassian,Backend Engineer,Mid-Level,Difference between abstraction and encapsulation.,Medium,Behavioral / Fundamentals
Atlassian,Frontend Engineer,Senior,Explain dependency injection.,Easy,Behavioral / Fundamentals
Atlassian,Data Engineer,Staff,What is clean code?,Medium,Behavioral / Fundamentals
