Company,Role,Experience,Question,Difficulty,Topic
Airbnb,Software Engineer,Fresher,Explain REST principles and common HTTP methods.,Medium,APIs
Airbnb,Backend Engineer,Junior,What makes an API idempotent and why is it important?,Medium,APIs
Airbnb,Frontend Engineer,Mid-Level,Explain pagination and versioning strategies in APIs.,Medium,APIs
Airbnb,Data Engineer,Senior,Difference between REST and GraphQL.,Medium,APIs
Airbnb,Software Engineer,Staff,How do APIs handle authentication and authorization?,Medium,APIs
Airbnb,Backend Engineer,Fresher,Explain common API security vulnerabilities.,Medium,APIs
Airbnb,Frontend Engineer,Junior,Difference between SQL and NoSQL databases.,Medium,Databases
Airbnb,Data Engineer,Mid-Level,Explain database indexing and its impact on performance.,Medium,Databases
Airbnb,Software Engineer,Senior,What are ACID properties?,Medium,Databases
Airbnb,Backend Engineer,Staff,Explain normalization and denormalization.,Medium,Databases
Airbnb,Frontend Engineer,Fresher,What is database sharding?,Medium,Databases
Airbnb,Data Engineer,Junior,Explain replication and failover mechanisms.,Medium,Databases
Airbnb,Software Engineer,Mid-Level,Design a scalable URL shortening service.,Medium,System Design
Airbnb,Backend Engineer,Senior,Explain load balancing strategies.,Easy,System Design
Airbnb,Frontend Engineer,Staff,How would you design a notification system?,Medium,System Design
Airbnb,Data Engineer,Fresher,Explain horizontal vs vertical scaling.,Easy,System Design
Airbnb,Software Engineer,Junior,Design a basic caching strategy.,Medium,System Design
Airbnb,Backend Engineer,Mid-Level,Explain trade-offs in distributed system design.,Medium,System Design
Airbnb,Frontend Engineer,Senior,Explain process vs thread.,Easy,Operating Systems
Airbnb,Data Engineer,Staff,What is context switching?,Medium,Operating Systems
Airbnb,Software Engineer,Fresher,Explain virtual memory.,Easy,Operating Systems
Airbnb,Backend Engineer,Junior,What is a deadlock and how is it prevented?,Medium,Operating Systems
Airbnb,Frontend Engineer,Mid-Level,Explain scheduling algorithms.,Easy,Operating Systems
Airbnb,Data Engineer,Senior,Difference between user mode and kernel mode.,Medium,Operating Systems
Airbnb,Software Engineer,Staff,Explain how DNS works.,Easy,Networking
Airbnb,Backend Engineer,Fresher,Difference between TCP and UDP.,Medium,Networking
Airbnb,Frontend Engineer,Junior,What happens when you type a URL in a browser?,Medium,Networking
Airbnb,Data Engineer,Mid-Level,Explain HTTP vs HTTPS.,Easy,Networking
Airbnb,Software Engineer,Senior,What is a reverse proxy?,Medium,Networking
Airbnb,Backend Engineer,Staff,Explain latency vs bandwidth.,Easy,Networking
Airbnb,Frontend Engineer,Fresher,"Explain IaaS, PaaS, and SaaS.",Easy,Cloud Computing
Airbnb,Data Engineer,Junior,What is auto-scaling?,Medium,Cloud Computing
Airbnb,Software Engineer,Mid-Level,Explain cloud load balancing.,Easy,Cloud Computing
Airbnb,Backend Engineer,Senior,What is serverless computing?,Medium,Cloud Computing
Airbnb,Frontend Engineer,Staff,Explain multi-region deployment.,Easy,Cloud Computing
Airbnb,Data Engineer,Fresher,How does cloud monitoring work?,Medium,Cloud Computing
Airbnb,Software Engineer,Junior,Explain authentication vs authorization.,Medium,Security
Airbnb,Backend Engineer,Mid-Level,What is OAuth 2.0?,Medium,Security
Airbnb,Frontend Engineer,Senior,Explain common web security attacks.,Easy,Security
Airbnb,Data Engineer,Staff,What is encryption at rest and in transit?,Medium,Security
Airbnb,Software Engineer,Fresher,Explain role-based access control.,Easy,Security
Airbnb,Backend Engineer,Junior,What is zero-trust security?,Medium,Security
Airbnb,Frontend Engineer,Mid-Level,Explain CI/CD pipelines.,Easy,DevOps
Airbnb,Data Engineer,Senior,What is Docker used for?,Medium,DevOps
Airbnb,Software Engineer,Staff,Explain container orchestration.,Easy,DevOps
Airbnb,Backend Engineer,Fresher,Difference between blue-green and canary deployments.,Medium,DevOps
Airbnb,Frontend Engineer,Junior,What is infrastructure as code?,Medium,DevOps
Airbnb,Data Engineer,Mid-Level,Explain monitoring and logging.,Easy,DevOps
Airbnb,Software Engineer,Senior,Explain time and space complexity.,Easy,Data Structures & Algorithms
Airbnb,Backend Engineer,Staff,Difference between array and linked list.,Medium,Data Structures & Algorithms
Airbnb,Frontend Engineer,Fresher,Explain hashing and hash collisions.,Easy,Data Structures & Algorithms
Airbnb,Data Engineer,Junior,What is a balanced binary tree?,Medium,Data Structures & Algorithms
Airbnb,Software Engineer,Mid-Level,Explain BFS vs DFS.,Easy,Data Structures & Algorithms
Airbnb,Backend Engineer,Senior,What is dynamic programming?,Medium,Data Structures & Algorithms
Airbnb,Frontend Engineer,Staff,Explain object-oriented programming principles.,Medium,Behavioral / Fundamentals
Airbnb,Data Engineer,Fresher,What is SOLID design?,Medium,Behavioral / Fundamentals
Airbnb,Software Engineer,Junior,Explain MVC architecture.,Easy,Behavioral / Fundamentals
Airbnb,Backend Engineer,Mid-Level,Difference between abstraction and encapsulation.,Medium,Behavioral / Fundamentals
Airbnb,Frontend Engineer,Senior,Explain dependency injection.,Easy,Behavioral / Fundamentals
Airbnb,Data Engineer,Staff,What is clean code?,Medium,Behavioral / Fundamentals
