Company,Role,Experience,Question,Difficulty,Topic
PayPal,Software Engineer,Fresher,Explain REST principles and common HTTP methods.,Medium,APIs
PayPal,Backend Engineer,Junior,What makes an API idempotent and why is it important?,Medium,APIs
PayPal,Frontend Engineer,Mid-Level,Explain pagination and versioning strategies in APIs.,Medium,APIs
PayPal,Data Engineer,Senior,Difference between REST and GraphQL.,Medium,APIs
PayPal,Software Engineer,Staff,How do APIs handle authentication and authorization?,Medium,APIs
PayPal,Backend Engineer,Fresher,Explain common API security vulnerabilities.,Medium,APIs
PayPal,Frontend Engineer,Junior,Difference between SQL and NoSQL databases.,Medium,Databases
PayPal,Data Engineer,Mid-Level,Explain database indexing and its impact on performance.,Medium,Databases
PayPal,Software Engineer,Senior,What are ACID properties?,Medium,Databases
PayPal,Backend Engineer,Staff,Explain normalization and denormalization.,Medium,Databases
PayPal,Frontend Engineer,Fresher,What is database sharding?,Medium,Databases
PayPal,Data Engineer,Junior,Explain replication and failover mechanisms.,Medium,Databases
PayPal,Software Engineer,Mid-Level,Design a scalable URL shortening service.,Medium,System Design
PayPal,Backend Engineer,Senior,Explain load balancing strategies.,Easy,System Design
PayPal,Frontend Engineer,Staff,How would you design a notification system?,Medium,System Design
PayPal,Data Engineer,Fresher,Explain horizontal vs vertical scaling.,Easy,System Design
PayPal,Software Engineer,Junior,Design a basic caching strategy.,Medium,System Design
PayPal,Backend Engineer,Mid-Level,Explain trade-offs in distributed system design.,Medium,System Design
PayPal,Frontend Engineer,Senior,Explain process vs thread.,Easy,Operating Systems
PayPal,Data Engineer,Staff,What is context switching?,Medium,Operating Systems
PayPal,Software Engineer,Fresher,Explain virtual memory.,Easy,Operating Systems
PayPal,Backend Engineer,Junior,What is a deadlock and how is it prevented?,Medium,Operating Systems
PayPal,Frontend Engineer,Mid-Level,Explain scheduling algorithms.,Easy,Operating Systems
PayPal,Data Engineer,Senior,Difference between user mode and kernel mode.,Medium,Operating Systems
PayPal,Software Engineer,Staff,Explain how DNS works.,Easy,Networking
PayPal,Backend Engineer,Fresher,Difference between TCP and UDP.,Medium,Networking
PayPal,Frontend Engineer,Junior,What happens when you type a URL in a browser?,Medium,Networking
PayPal,Data Engineer,Mid-Level,Explain HTTP vs HTTPS.,Easy,Networking
PayPal,Software Engineer,Senior,What is a reverse proxy?,Medium,Networking
PayPal,Backend Engineer,Staff,Explain latency vs bandwidth.,Easy,Networking
PayPal,Frontend Engineer,Fresher,"Explain IaaS, PaaS, and SaaS.",Easy,Cloud Computing
PayPal,Data Engineer,Junior,What is auto-scaling?,Medium,Cloud Computing
PayPal,Software Engineer,Mid-Level,Explain cloud load balancing.,Easy,Cloud Computing
PayPal,Backend Engineer,Senior,What is serverless computing?,Medium,Cloud Computing
PayPal,Frontend Engineer,Staff,Explain multi-region deployment.,Easy,Cloud Computing
PayPal,Data Engineer,Fresher,How does cloud monitoring work?,Medium,Cloud Computing
PayPal,Software Engineer,Junior,Explain authentication vs authorization.,Medium,Security
PayPal,Backend Engineer,Mid-Level,What is OAuth 2.0?,Medium,Security
PayPal,Frontend Engineer,Senior,Explain common web security attacks.,Easy,Security
PayPal,Data Engineer,Staff,What is encryption at rest and in transit?,Medium,Security
PayPal,Software Engineer,Fresher,Explain role-based access control.,Easy,Security
PayPal,Backend Engineer,Junior,What is zero-trust security?,Medium,Security
PayPal,Frontend Engineer,Mid-Level,Explain CI/CD pipelines.,Easy,DevOps
PayPal,Data Engineer,Senior,What is Docker used for?,Medium,DevOps
PayPal,Software Engineer,Staff,Explain container orchestration.,Easy,DevOps
PayPal,Backend Engineer,Fresher,Difference between blue-green and canary deployments.,Medium,DevOps
PayPal,Frontend Engineer,Junior,What is infrastructure as code?,Medium,DevOps
PayPal,Data Engineer,Mid-Level,Explain monitoring and logging.,Easy,DevOps
PayPal,Software Engineer,Senior,Explain time and space complexity.,Easy,Data Structures & Algorithms
PayPal,Backend Engineer,Staff,Difference between array and linked list.,Medium,Data Structures & Algorithms
PayPal,Frontend Engineer,Fresher,Explain hashing and hash collisions.,Easy,Data Structures & Algorithms
PayPal,Data Engineer,Junior,What is a balanced binary tree?,Medium,Data Structures & Algorithms
PayPal,Software Engineer,Mid-Level,Explain BFS vs DFS.,Easy,Data Structures & Algorithms
PayPal,Backend Engineer,Senior,What is dynamic programming?,Medium,Data Structures & Algorithms
PayPal,Frontend Engineer,Staff,Explain object-oriented programming principles.,Medium,Behavioral / Fundamentals
PayPal,Data Engineer,Fresher,What is SOLID design?,Medium,Behavioral / Fundamentals
PayPal,Software Engineer,Junior,Explain MVC architecture.,Easy,Behavioral / Fundamentals
PayPal,Backend Engineer,Mid-Level,Difference between abstraction and encapsulation.,Medium,Behavioral / Fundamentals
PayPal,Frontend Engineer,Senior,Explain dependency injection.,Easy,Behavioral / Fundamentals
PayPal,Data Engineer,Staff,What is clean code?,Medium,Behavioral / Fundamentals
