Company,Role,Experience,Question,Difficulty,Topic
Oracle,Software Engineer,Fresher,Explain REST principles and common HTTP methods.,Medium,APIs
Oracle,Backend Engineer,Junior,What makes an API idempotent and why is it important?,Medium,APIs
Oracle,Frontend Engineer,Mid-Level,Explain pagination and versioning strategies in APIs.,Medium,APIs
Oracle,Data Engineer,Senior,Difference between REST and GraphQL.,Medium,APIs
Oracle,Software Engineer,Staff,How do APIs handle authentication and authorization?,Medium,APIs
Oracle,Backend Engineer,Fresher,Explain common API security vulnerabilities.,Medium,APIs
Oracle,Frontend Engineer,Junior,Difference between SQL and NoSQL databases.,Medium,Databases
Oracle,Data Engineer,Mid-Level,Explain database indexing and its impact on performance.,Medium,Databases
Oracle,Software Engineer,Senior,What are ACID properties?,Medium,Databases
Oracle,Backend Engineer,Staff,Explain normalization and denormalization.,Medium,Databases
Oracle,Frontend Engineer,Fresher,What is database sharding?,Medium,Databases
Oracle,Data Engineer,Junior,Explain replication and failover mechanisms.,Medium,Databases
Oracle,Software Engineer,Mid-Level,Design a scalable URL shortening service.,Medium,System Design
Oracle,Backend Engineer,Senior,Explain load balancing strategies.,Easy,System Design
Oracle,Frontend Engineer,Staff,How would you design a notification system?,Medium,System Design
Oracle,Data Engineer,Fresher,Explain horizontal vs vertical scaling.,Easy,System Design
Oracle,Software Engineer,Junior,Design a basic caching strategy.,Medium,System Design
Oracle,Backend Engineer,Mid-Level,Explain trade-offs in distributed system design.,Medium,System Design
Oracle,Frontend Engineer,Senior,Explain process vs thread.,Easy,Operating Systems
Oracle,Data Engineer,Staff,What is context switching?,Medium,Operating Systems
Oracle,Software Engineer,Fresher,Explain virtual memory.,Easy,Operating Systems
Oracle,Backend Engineer,Junior,What is a deadlock and how is it prevented?,Medium,Operating Systems
Oracle,Frontend Engineer,Mid-Level,Explain scheduling algorithms.,Easy,Operating Systems
Oracle,Data Engineer,Senior,Difference between user mode and kernel mode.,Medium,Operating Systems
Oracle,Software Engineer,Staff,Explain how DNS works.,Easy,Networking
Oracle,Backend Engineer,Fresher,Difference between TCP and UDP.,Medium,Networking
Oracle,Frontend Engineer,Junior,What happens when you type a URL in a browser?,Medium,Networking
Oracle,Data Engineer,Mid-Level,Explain HTTP vs HTTPS.,Easy,Networking
Oracle,Software Engineer,Senior,What is a reverse proxy?,Medium,Networking
Oracle,Backend Engineer,Staff,Explain latency vs bandwidth.,Easy,Networking
Oracle,Frontend Engineer,Fresher,"Explain IaaS, PaaS, and SaaS.",Easy,Cloud Computing
Oracle,Data Engineer,Junior,What is auto-scaling?,Medium,Cloud Computing
Oracle,Software Engineer,Mid-Level,Explain cloud load balancing.,Easy,Cloud Computing
Oracle,Backend Engineer,Senior,What is serverless computing?,Medium,Cloud Computing
Oracle,Frontend Engineer,Staff,Explain multi-region deployment.,Easy,Cloud Computing
Oracle,Data Engineer,Fresher,How does cloud monitoring work?,Medium,Cloud Computing
Oracle,Software Engineer,Junior,Explain authentication vs authorization.,Medium,Security
Oracle,Backend Engineer,Mid-Level,What is OAuth 2.0?,Medium,Security
Oracle,Frontend Engineer,Senior,Explain common web security attacks.,Easy,Security
Oracle,Data Engineer,Staff,What is encryption at rest and in transit?,Medium,Security
Oracle,Software Engineer,Fresher,Explain role-based access control.,Easy,Security
Oracle,Backend Engineer,Junior,What is zero-trust security?,Medium,Security
Oracle,Frontend Engineer,Mid-Level,Explain CI/CD pipelines.,Easy,DevOps
Oracle,Data Engineer,Senior,What is Docker used for?,Medium,DevOps
Oracle,Software Engineer,Staff,Explain container orchestration.,Easy,DevOps
Oracle,Backend Engineer,Fresher,Difference between blue-green and canary deployments.,Medium,DevOps
Oracle,Frontend Engineer,Junior,What is infrastructure as code?,Medium,DevOps
Oracle,Data Engineer,Mid-Level,Explain monitoring and logging.,Easy,DevOps
Oracle,Software Engineer,Senior,Explain time and space complexity.,Easy,Data Structures & Algorithms
Oracle,Backend Engineer,Staff,Difference between array and linked list.,Medium,Data Structures & Algorithms
Oracle,Frontend Engineer,Fresher,Explain hashing and hash collisions.,Easy,Data Structures & Algorithms
Oracle,Data Engineer,Junior,What is a balanced binary tree?,Medium,Data Structures & Algorithms
Oracle,Software Engineer,Mid-Level,Explain BFS vs DFS.,Easy,Data Structures & Algorithms
Oracle,Backend Engineer,Senior,What is dynamic programming?,Medium,Data Structures & Algorithms
Oracle,Frontend Engineer,Staff,Explain object-oriented programming principles.,Medium,Behavioral / Fundamentals
Oracle,Data Engineer,Fresher,What is SOLID design?,Medium,Behavioral / Fundamentals
Oracle,Software Engineer,Junior,Explain MVC architecture.,Easy,Behavioral / Fundamentals
Oracle,Backend Engineer,Mid-Level,Difference between abstraction and encapsulation.,Medium,Behavioral / Fundamentals
Oracle,Frontend Engineer,Senior,Explain dependency injection.,Easy,Behavioral / Fundamentals
Oracle,Data Engineer,Staff,What is clean code?,Medium,Behavioral / Fundamentals
