Company,Role,Experience,Question,Difficulty,Topic
Meta,Software Engineer,Fresher,Explain REST principles and common HTTP methods.,Medium,APIs
Meta,Backend Engineer,Junior,What makes an API idempotent and why is it important?,Medium,APIs
Meta,Frontend Engineer,Mid-Level,Explain pagination and versioning strategies in APIs.,Medium,APIs
Meta,Data Engineer,Senior,Difference between REST and GraphQL.,Medium,APIs
Meta,Software Engineer,Staff,How do APIs handle authentication and authorization?,Medium,APIs
Meta,Backend Engineer,Fresher,Explain common API security vulnerabilities.,Medium,APIs
Meta,Frontend Engineer,Junior,Difference between SQL and NoSQL databases.,Medium,Databases
Meta,Data Engineer,Mid-Level,Explain database indexing and its impact on performance.,Medium,Databases
Meta,Software Engineer,Senior,What are ACID properties?,Medium,Databases
Meta,Backend Engineer,Staff,Explain normalization and denormalization.,Medium,Databases
Meta,Frontend Engineer,Fresher,What is database sharding?,Medium,Databases
Meta,Data Engineer,Junior,Explain replication and failover mechanisms.,Medium,Databases
Meta,Software Engineer,Mid-Level,Design a scalable URL shortening service.,Medium,System Design
Meta,Backend Engineer,Senior,Explain load balancing strategies.,Easy,System Design
Meta,Frontend Engineer,Staff,How would you design a notification system?,Medium,System Design
Meta,Data Engineer,Fresher,Explain horizontal vs vertical scaling.,Easy,System Design
Meta,Software Engineer,Junior,Design a basic caching strategy.,Medium,System Design
Meta,Backend Engineer,Mid-Level,Explain trade-offs in distributed system design.,Medium,System Design
Meta,Frontend Engineer,Senior,Explain process vs thread.,Easy,Operating Systems
Meta,Data Engineer,Staff,What is context switching?,Medium,Operating Systems
Meta,Software Engineer,Fresher,Explain virtual memory.,Easy,Operating Systems
Meta,Backend Engineer,Junior,What is a deadlock and how is it prevented?,Medium,Operating Systems
Meta,Frontend Engineer,Mid-Level,Explain scheduling algorithms.,Easy,Operating Systems
Meta,Data Engineer,Senior,Difference between user mode and kernel mode.,Medium,Operating Systems
Meta,Software Engineer,Staff,Explain how DNS works.,Easy,Networking
Meta,Backend Engineer,Fresher,Difference between TCP and UDP.,Medium,Networking
Meta,Frontend Engineer,Junior,What happens when you type a URL in a browser?,Medium,Networking
Meta,Data Engineer,Mid-Level,Explain HTTP vs HTTPS.,Easy,Networking
Meta,Software Engineer,Senior,What is a reverse proxy?,Medium,Networking
Meta,Backend Engineer,Staff,Explain latency vs bandwidth.,Easy,Networking
Meta,Frontend Engineer,Fresher,"Explain IaaS, PaaS, and SaaS.",Easy,Cloud Computing
Meta,Data Engineer,Junior,What is auto-scaling?,Medium,Cloud Computing
Meta,Software Engineer,Mid-Level,Explain cloud load balancing.,Easy,Cloud Computing
Meta,Backend Engineer,Senior,What is serverless computing?,Medium,Cloud Computing
Meta,Frontend Engineer,Staff,Explain multi-region deployment.,Easy,Cloud Computing
Meta,Data Engineer,Fresher,How does cloud monitoring work?,Medium,Cloud Computing
Meta,Software Engineer,Junior,Explain authentication vs authorization.,Medium,Security
Meta,Backend Engineer,Mid-Level,What is OAuth 2.0?,Medium,Security
Meta,Frontend Engineer,Senior,Explain common web security attacks.,Easy,Security
Meta,Data Engineer,Staff,What is encryption at rest and in transit?,Medium,Security
Meta,Software Engineer,Fresher,Explain role-based access control.,Easy,Security
Meta,Backend Engineer,Junior,What is zero-trust security?,Medium,Security
Meta,Frontend Engineer,Mid-Level,Explain CI/CD pipelines.,Easy,DevOps
Meta,Data Engineer,Senior,What is Docker used for?,Medium,DevOps
Meta,Software Engineer,Staff,Explain container orchestration.,Easy,DevOps
Meta,Backend Engineer,Fresher,Difference between blue-green and canary deployments.,Medium,DevOps
Meta,Frontend Engineer,Junior,What is infrastructure as code?,Medium,DevOps
Meta,Data Engineer,Mid-Level,Explain monitoring and logging.,Easy,DevOps
Meta,Software Engineer,Senior,Explain time and space complexity.,Easy,Data Structures & Algorithms
Meta,Backend Engineer,Staff,Difference between array and linked list.,Medium,Data Structures & Algorithms
Meta,Frontend Engineer,Fresher,Explain hashing and hash collisions.,Easy,Data Structures & Algorithms
Meta,Data Engineer,Junior,What is a balanced binary tree?,Medium,Data Structures & Algorithms
Meta,Software Engineer,Mid-Level,Explain BFS vs DFS.,Easy,Data Structures & Algorithms
Meta,Backend Engineer,Senior,What is dynamic programming?,Medium,Data Structures & Algorithms
Meta,Frontend Engineer,Staff,Explain object-oriented programming principles.,Medium,Behavioral / Fundamentals
Meta,Data Engineer,Fresher,What is SOLID design?,Medium,Behavioral / Fundamentals
Meta,Software Engineer,Junior,Explain MVC architecture.,Easy,Behavioral / Fundamentals
Meta,Backend Engineer,Mid-Level,Difference between abstraction and encapsulation.,Medium,Behavioral / Fundamentals
Meta,Frontend Engineer,Senior,Explain dependency injection.,Easy,Behavioral / Fundamentals
Meta,Data Engineer,Staff,What is clean code?,Medium,Behavioral / Fundamentals
