Company,Role,Experience,Question,Difficulty,Topic
Nvidia,Software Engineer,Fresher,Explain REST principles and common HTTP methods.,Medium,APIs
Nvidia,Backend Engineer,Junior,What makes an API idempotent and why is it important?,Medium,APIs
Nvidia,Frontend Engineer,Mid-Level,Explain pagination and versioning strategies in APIs.,Medium,APIs
Nvidia,Data Engineer,Senior,Difference between REST and GraphQL.,Medium,APIs
Nvidia,Software Engineer,Staff,How do APIs handle authentication and authorization?,Medium,APIs
Nvidia,Backend Engineer,Fresher,Explain common API security vulnerabilities.,Medium,APIs
Nvidia,Frontend Engineer,Junior,Difference between SQL and NoSQL databases.,Medium,Databases
Nvidia,Data Engineer,Mid-Level,Explain database indexing and its impact on performance.,Medium,Databases
Nvidia,Software Engineer,Senior,What are ACID properties?,Medium,Databases
Nvidia,Backend Engineer,Staff,Explain normalization and denormalization.,Medium,Databases
Nvidia,Frontend Engineer,Fresher,What is database sharding?,Medium,Databases
Nvidia,Data Engineer,Junior,Explain replication and failover mechanisms.,Medium,Databases
Nvidia,Software Engineer,Mid-Level,Design a scalable URL shortening service.,Medium,System Design
Nvidia,Backend Engineer,Senior,Explain load balancing strategies.,Easy,System Design
Nvidia,Frontend Engineer,Staff,How would you design a notification system?,Medium,System Design
Nvidia,Data Engineer,Fresher,Explain horizontal vs vertical scaling.,Easy,System Design
Nvidia,Software Engineer,Junior,Design a basic caching strategy.,Medium,System Design
Nvidia,Backend Engineer,Mid-Level,Explain trade-offs in distributed system design.,Medium,System Design
Nvidia,Frontend Engineer,Senior,Explain process vs thread.,Easy,Operating Systems
Nvidia,Data Engineer,Staff,What is context switching?,Medium,Operating Systems
Nvidia,Software Engineer,Fresher,Explain virtual memory.,Easy,Operating Systems
Nvidia,Backend Engineer,Junior,What is a deadlock and how is it prevented?,Medium,Operating Systems
Nvidia,Frontend Engineer,Mid-Level,Explain scheduling algorithms.,Easy,Operating Systems
Nvidia,Data Engineer,Senior,Difference between user mode and kernel mode.,Medium,Operating Systems
Nvidia,Software Engineer,Staff,Explain how DNS works.,Easy,Networking
Nvidia,Backend Engineer,Fresher,Difference between TCP and UDP.,Medium,Networking
Nvidia,Frontend Engineer,Junior,What happens when you type a URL in a browser?,Medium,Networking
Nvidia,Data Engineer,Mid-Level,Explain HTTP vs HTTPS.,Easy,Networking
Nvidia,Software Engineer,Senior,What is a reverse proxy?,Medium,Networking
Nvidia,Backend Engineer,Staff,Explain latency vs bandwidth.,Easy,Networking
Nvidia,Frontend Engineer,Fresher,"Explain IaaS, PaaS, and SaaS.",Easy,Cloud Computing
Nvidia,Data Engineer,Junior,What is auto-scaling?,Medium,Cloud Computing
Nvidia,Software Engineer,Mid-Level,Explain cloud load balancing.,Easy,Cloud Computing
Nvidia,Backend Engineer,Senior,What is serverless computing?,Medium,Cloud Computing
Nvidia,Frontend Engineer,Staff,Explain multi-region deployment.,Easy,Cloud Computing
Nvidia,Data Engineer,Fresher,How does cloud monitoring work?,Medium,Cloud Computing
Nvidia,Software Engineer,Junior,Explain authentication vs authorization.,Medium,Security
Nvidia,Backend Engineer,Mid-Level,What is OAuth 2.0?,Medium,Security
Nvidia,Frontend Engineer,Senior,Explain common web security attacks.,Easy,Security
Nvidia,Data Engineer,Staff,What is encryption at rest and in transit?,Medium,Security
Nvidia,Software Engineer,Fresher,Explain role-based access control.,Easy,Security
Nvidia,Backend Engineer,Junior,What is zero-trust security?,Medium,Security
Nvidia,Frontend Engineer,Mid-Level,Explain CI/CD pipelines.,Easy,DevOps
Nvidia,Data Engineer,Senior,What is Docker used for?,Medium,DevOps
Nvidia,Software Engineer,Staff,Explain container orchestration.,Easy,DevOps
Nvidia,Backend Engineer,Fresher,Difference between blue-green and canary deployments.,Medium,DevOps
Nvidia,Frontend Engineer,Junior,What is infrastructure as code?,Medium,DevOps
Nvidia,Data Engineer,Mid-Level,Explain monitoring and logging.,Easy,DevOps
Nvidia,Software Engineer,Senior,Explain time and space complexity.,Easy,Data Structures & Algorithms
Nvidia,Backend Engineer,Staff,Difference between array and linked list.,Medium,Data Structures & Algorithms
Nvidia,Frontend Engineer,Fresher,Explain hashing and hash collisions.,Easy,Data Structures & Algorithms
Nvidia,Data Engineer,Junior,What is a balanced binary tree?,Medium,Data Structures & Algorithms
Nvidia,Software Engineer,Mid-Level,Explain BFS vs DFS.,Easy,Data Structures & Algorithms
Nvidia,Backend Engineer,Senior,What is dynamic programming?,Medium,Data Structures & Algorithms
Nvidia,Frontend Engineer,Staff,Explain object-oriented programming principles.,Medium,Behavioral / Fundamentals
Nvidia,Data Engineer,Fresher,What is SOLID design?,Medium,Behavioral / Fundamentals
Nvidia,Software Engineer,Junior,Explain MVC architecture.,Easy,Behavioral / Fundamentals
Nvidia,Backend Engineer,Mid-Level,Difference between abstraction and encapsulation.,Medium,Behavioral / Fundamentals
Nvidia,Frontend Engineer,Senior,Explain dependency injection.,Easy,Behavioral / Fundamentals
Nvidia,Data Engineer,Staff,What is clean code?,Medium,Behavioral / Fundamentals
