Company,Role,Experience,Question,Difficulty,Topic
Samsung,Software Engineer,Fresher,Explain REST principles and common HTTP methods.,Medium,APIs
Samsung,Backend Engineer,Junior,What makes an API idempotent and why is it important?,Medium,APIs
Samsung,Frontend Engineer,Mid-Level,Explain pagination and versioning strategies in APIs.,Medium,APIs
Samsung,Data Engineer,Senior,Difference between REST and GraphQL.,Medium,APIs
Samsung,Software Engineer,Staff,How do APIs handle authentication and authorization?,Medium,APIs
Samsung,Backend Engineer,Fresher,Explain common API security vulnerabilities.,Medium,APIs
Samsung,Frontend Engineer,Junior,Difference between SQL and NoSQL databases.,Medium,Databases
Samsung,Data Engineer,Mid-Level,Explain database indexing and its impact on performance.,Medium,Databases
Samsung,Software Engineer,Senior,What are ACID properties?,Medium,Databases
Samsung,Backend Engineer,Staff,Explain normalization and denormalization.,Medium,Databases
Samsung,Frontend Engineer,Fresher,What is database sharding?,Medium,Databases
Samsung,Data Engineer,Junior,Explain replication and failover mechanisms.,Medium,Databases
Samsung,Software Engineer,Mid-Level,Design a scalable URL shortening service.,Medium,System Design
Samsung,Backend Engineer,Senior,Explain load balancing strategies.,Easy,System Design
Samsung,Frontend Engineer,Staff,How would you design a notification system?,Medium,System Design
Samsung,Data Engineer,Fresher,Explain horizontal vs vertical scaling.,Easy,System Design
Samsung,Software Engineer,Junior,Design a basic caching strategy.,Medium,System Design
Samsung,Backend Engineer,Mid-Level,Explain trade-offs in distributed system design.,Medium,System Design
Samsung,Frontend Engineer,Senior,Explain process vs thread.,Easy,Operating Systems
Samsung,Data Engineer,Staff,What is context switching?,Medium,Operating Systems
Samsung,Software Engineer,Fresher,Explain virtual memory.,Easy,Operating Systems
Samsung,Backend Engineer,Junior,What is a deadlock and how is it prevented?,Medium,Operating Systems
Samsung,Frontend Engineer,Mid-Level,Explain scheduling algorithms.,Easy,Operating Systems
Samsung,Data Engineer,Senior,Difference between user mode and kernel mode.,Medium,Operating Systems
Samsung,Software Engineer,Staff,Explain how DNS works.,Easy,Networking
Samsung,Backend Engineer,Fresher,Difference between TCP and UDP.,Medium,Networking
Samsung,Frontend Engineer,Junior,What happens when you type a URL in a browser?,Medium,Networking
Samsung,Data Engineer,Mid-Level,Explain HTTP vs HTTPS.,Easy,Networking
Samsung,Software Engineer,Senior,What is a reverse proxy?,Medium,Networking
Samsung,Backend Engineer,Staff,Explain latency vs bandwidth.,Easy,Networking
Samsung,Frontend Engineer,Fresher,"Explain IaaS, PaaS, and SaaS.",Easy,Cloud Computing
Samsung,Data Engineer,Junior,What is auto-scaling?,Medium,Cloud Computing
Samsung,Software Engineer,Mid-Level,Explain cloud load balancing.,Easy,Cloud Computing
Samsung,Backend Engineer,Senior,What is serverless computing?,Medium,Cloud Computing
Samsung,Frontend Engineer,Staff,Explain multi-region deployment.,Easy,Cloud Computing
Samsung,Data Engineer,Fresher,How does cloud monitoring work?,Medium,Cloud Computing
Samsung,Software Engineer,Junior,Explain authentication vs authorization.,Medium,Security
Samsung,Backend Engineer,Mid-Level,What is OAuth 2.0?,Medium,Security
Samsung,Frontend Engineer,Senior,Explain common web security attacks.,Easy,Security
Samsung,Data Engineer,Staff,What is encryption at rest and in transit?,Medium,Security
Samsung,Software Engineer,Fresher,Explain role-based access control.,Easy,Security
Samsung,Backend Engineer,Junior,What is zero-trust security?,Medium,Security
Samsung,Frontend Engineer,Mid-Level,Explain CI/CD pipelines.,Easy,DevOps
Samsung,Data Engineer,Senior,What is Docker used for?,Medium,DevOps
Samsung,Software Engineer,Staff,Explain container orchestration.,Easy,DevOps
Samsung,Backend Engineer,Fresher,Difference between blue-green and canary deployments.,Medium,DevOps
Samsung,Frontend Engineer,Junior,What is infrastructure as code?,Medium,DevOps
Samsung,Data Engineer,Mid-Level,Explain monitoring and logging.,Easy,DevOps
Samsung,Software Engineer,Senior,Explain time and space complexity.,Easy,Data Structures & Algorithms
Samsung,Backend Engineer,Staff,Difference between array and linked list.,Medium,Data Structures & Algorithms
Samsung,Frontend Engineer,Fresher,Explain hashing and hash collisions.,Easy,Data Structures & Algorithms
Samsung,Data Engineer,Junior,What is a balanced binary tree?,Medium,Data Structures & Algorithms
Samsung,Software Engineer,Mid-Level,Explain BFS vs DFS.,Easy,Data Structures & Algorithms
Samsung,Backend Engineer,Senior,What is dynamic programming?,Medium,Data Structures & Algorithms
Samsung,Frontend Engineer,Staff,Explain object-oriented programming principles.,Medium,Behavioral / Fundamentals
Samsung,Data Engineer,Fresher,What is SOLID design?,Medium,Behavioral / Fundamentals
Samsung,Software Engineer,Junior,Explain MVC architecture.,Easy,Behavioral / Fundamentals
Samsung,Backend Engineer,Mid-Level,Difference between abstraction and encapsulation.,Medium,Behavioral / Fundamentals
Samsung,Frontend Engineer,Senior,Explain dependency injection.,Easy,Behavioral / Fundamentals
Samsung,Data Engineer,Staff,What is clean code?,Medium,Behavioral / Fundamentals
