Company,Role,Experience,Question,Difficulty,Topic
Microsoft,Software Engineer,Fresher,Explain REST principles and common HTTP methods.,Medium,APIs
Microsoft,Backend Engineer,Junior,What makes an API idempotent and why is it important?,Medium,APIs
Microsoft,Frontend Engineer,Mid-Level,Explain pagination and versioning strategies in APIs.,Medium,APIs
Microsoft,Data Engineer,Senior,Difference between REST and GraphQL.,Medium,APIs
Microsoft,Software Engineer,Staff,How do APIs handle authentication and authorization?,Medium,APIs
Microsoft,Backend Engineer,Fresher,Explain common API security vulnerabilities.,Medium,APIs
Microsoft,Frontend Engineer,Junior,Difference between SQL and NoSQL databases.,Medium,Databases
Microsoft,Data Engineer,Mid-Level,Explain database indexing and its impact on performance.,Medium,Databases
Microsoft,Software Engineer,Senior,What are ACID properties?,Medium,Databases
Microsoft,Backend Engineer,Staff,Explain normalization and denormalization.,Medium,Databases
Microsoft,Frontend Engineer,Fresher,What is database sharding?,Medium,Databases
Microsoft,Data Engineer,Junior,Explain replication and failover mechanisms.,Medium,Databases
Microsoft,Software Engineer,Mid-Level,Design a scalable URL shortening service.,Medium,System Design
Microsoft,Backend Engineer,Senior,Explain load balancing strategies.,Easy,System Design
Microsoft,Frontend Engineer,Staff,How would you design a notification system?,Medium,System Design
Microsoft,Data Engineer,Fresher,Explain horizontal vs vertical scaling.,Easy,System Design
Microsoft,Software Engineer,Junior,Design a basic caching strategy.,Medium,System Design
Microsoft,Backend Engineer,Mid-Level,Explain trade-offs in distributed system design.,Medium,System Design
Microsoft,Frontend Engineer,Senior,Explain process vs thread.,Easy,Operating Systems
Microsoft,Data Engineer,Staff,What is context switching?,Medium,Operating Systems
Microsoft,Software Engineer,Fresher,Explain virtual memory.,Easy,Operating Systems
Microsoft,Backend Engineer,Junior,What is a deadlock and how is it prevented?,Medium,Operating Systems
Microsoft,Frontend Engineer,Mid-Level,Explain scheduling algorithms.,Easy,Operating Systems
Microsoft,Data Engineer,Senior,Difference between user mode and kernel mode.,Medium,Operating Systems
Microsoft,Software Engineer,Staff,Explain how DNS works.,Easy,Networking
Microsoft,Backend Engineer,Fresher,Difference between TCP and UDP.,Medium,Networking
Microsoft,Frontend Engineer,Junior,What happens when you type a URL in a browser?,Medium,Networking
Microsoft,Data Engineer,Mid-Level,Explain HTTP vs HTTPS.,Easy,Networking
Microsoft,Software Engineer,Senior,What is a reverse proxy?,Medium,Networking
Microsoft,Backend Engineer,Staff,Explain latency vs bandwidth.,Easy,Networking
Microsoft,Frontend Engineer,Fresher,"Explain IaaS, PaaS, and SaaS.",Easy,Cloud Computing
Microsoft,Data Engineer,Junior,What is auto-scaling?,Medium,Cloud Computing
Microsoft,Software Engineer,Mid-Level,Explain cloud load balancing.,Easy,Cloud Computing
Microsoft,Backend Engineer,Senior,What is serverless computing?,Medium,Cloud Computing
Microsoft,Frontend Engineer,Staff,Explain multi-region deployment.,Easy,Cloud Computing
Microsoft,Data Engineer,Fresher,How does cloud monitoring work?,Medium,Cloud Computing
Microsoft,Software Engineer,Junior,Explain authentication vs authorization.,Medium,Security
Microsoft,Backend Engineer,Mid-Level,What is OAuth 2.0?,Medium,Security
Microsoft,Frontend Engineer,Senior,Explain common web security attacks.,Easy,Security
Microsoft,Data Engineer,Staff,What is encryption at rest and in transit?,Medium,Security
Microsoft,Software Engineer,Fresher,Explain role-based access control.,Easy,Security
Microsoft,Backend Engineer,Junior,What is zero-trust security?,Medium,Security
Microsoft,Frontend Engineer,Mid-Level,Explain CI/CD pipelines.,Easy,DevOps
Microsoft,Data Engineer,Senior,What is Docker used for?,Medium,DevOps
Microsoft,Software Engineer,Staff,Explain container orchestration.,Easy,DevOps
Microsoft,Backend Engineer,Fresher,Difference between blue-green and canary deployments.,Medium,DevOps
Microsoft,Frontend Engineer,Junior,What is infrastructure as code?,Medium,DevOps
Microsoft,Data Engineer,Mid-Level,Explain monitoring and logging.,Easy,DevOps
Microsoft,Software Engineer,Senior,Explain time and space complexity.,Easy,Data Structures & Algorithms
Microsoft,Backend Engineer,Staff,Difference between array and linked list.,Medium,Data Structures & Algorithms
Microsoft,Frontend Engineer,Fresher,Explain hashing and hash collisions.,Easy,Data Structures & Algorithms
Microsoft,Data Engineer,Junior,What is a balanced binary tree?,Medium,Data Structures & Algorithms
Microsoft,Software Engineer,Mid-Level,Explain BFS vs DFS.,Easy,Data Structures & Algorithms
Microsoft,Backend Engineer,Senior,What is dynamic programming?,Medium,Data Structures & Algorithms
Microsoft,Frontend Engineer,Staff,Explain object-oriented programming principles.,Medium,Behavioral / Fundamentals
Microsoft,Data Engineer,Fresher,What is SOLID design?,Medium,Behavioral / Fundamentals
Microsoft,Software Engineer,Junior,Explain MVC architecture.,Easy,Behavioral / Fundamentals
Microsoft,Backend Engineer,Mid-Level,Difference between abstraction and encapsulation.,Medium,Behavioral / Fundamentals
Microsoft,Frontend Engineer,Senior,Explain dependency injection.,Easy,Behavioral / Fundamentals
Microsoft,Data Engineer,Staff,What is clean code?,Medium,Behavioral / Fundamentals
